Tweets,Domain,Label
" بالنسبة ليوبي سوفت مع الاسف في ناس فهمت فكرة الحملة غلط في غلط ، المقاطعة مش لانهم يدعمون القوس قزح من البداية ،نحن نطالب باعتذار على افتراء قالوه تجاهناه و بسببه لغوا البطولة ، و لهذا نريد منهم الاعتذار عن الي صرحوا فيه و ما سمعنا منهم شي و لهذا قاعدين نقاطع ",Gaming,Non-bullying
" أمام الاحترام يسقط كل شيء جل ما كتبته يعتبر ثرثرة مُفرِطة مقابل اتهامات باطلة تجاه دولة الإمارات بأنها مكان غير آمن لإقامة البطولة وعلاوةً على عدم احترام للاعبين المنطقة المتشوقين للبطولة ختامأ كل شخص يتبع مصلحته، ولأنها تكتب هكذا وليست بيسوفت العنصرية ",Gaming,bullying
 شركة سحبت على عرب علشان لا تزعل ناس ما تستاهل ذكر اسمها ولا قدمت اعتذار اهانة لنا و تقول لنا ليش نزعل هذي مو لقطة باللعبة او فلم علشان نستنكر هذي سحبت على جمهور كامل الغت بطولة لاشخاص ما تستاهل و تبينا حنا نتنازل ؟ ,Gaming,Non-bullying
 تحاول تستفز الناس ولا أيش ؟ استح نفسك يا منبطح ,Gaming,bullying
 يا رجل نسيت الهاشتاق حسبتك معانا في مقاطعت يوبيسوفت ,Gaming,Non-bullying
 الشخص اللي مادعم الحملة من الاساس ولا كان معها احترمه اكثر من الشخص اللي كان داعم للحملة بكل مكان وفجأة مع اول مؤتمر نشوفه يتكلم عنه ولا كأن شيء صار تناقض مضحك ,Gaming,Non-bullying
 همم دامي فاضي بروح ادور اذا احد يهتم محد ,Gaming,Non-bullying
" لو يعلنون عن اساسينز كريد من هنا لبكرة يا حبيبي لو يعلنون ان سبلنتر سيل بتنزل بكرة، يخسون ننسى و اذا مرة طاقتكم المحىة و تبون تلعبونها، اصبروا لين ما تنزل عالقيم باس ولا البلس او على ايبيك و العبوها ببلاش ",Gaming,Non-bullying
 مهما لان البعض راح ابقى على مقاطعة واخبارها ,Gaming,Non-bullying
 ما زلنا نقاطع لا تكونوا مكائن دفع لهم الي يهينك و تصفق له مثل قطيع الأغنام ارتفعوا عنهم ,Gaming,bullying
 انت و جيمرسناك و سعودي و الريفيوز أمركم عجيب كل ما قلنا خلونا يد واحدة في حملة تصرّون تتكلمون عنها و كأن الموضوع عناد بس و تجي تتحجج أن هذا تصويت المتابعين ,Gaming,Non-bullying
 ادخل على ها الهاشتاج و حتفهم ليش أغلب الناس عندها موقف من ها الشركة إلا المؤثرين و كأنهم لا مسلمين ولا عرب ,Gaming,Non-bullying
 كنت بدي اشتري لعبة تمام بس ااااااااااخ اول ما شفت شعار يوبيزفت سحبت والله يا شباب اللعبة رهيبة بس والله إنهم ما يستاهلون ليش يوبيسوفت الي ماسكة ألعاب زي هيك ما يستاهلوها والله ,Gaming,Non-bullying
" ماهمتني المقاطعه وولا همتني الشركه انا لو لعبه عجبتني بشتريها سواء من يوبي زق ولا شركه غيرها اهم شي متعتي في الحياه ، قسم بالله الي صاير مهزله وصل في مدعيين المثاليه انهم يشتمون ويسبون اي احد يشتري لعبه عاجبته من يوبيسوفت وش الغرابه ذي الي فيهم ",Gaming,bullying
 الناس تشتري ليه انا اقاطعهم هم الناس الي تحدد مبدأك وايش الصح وايش الغلط ؟ لا تكون امعه وعديم مبدأ وكرامة ,Gaming,Non-bullying
" ويجيك فلان يعلن عن اللعابهم مثل و اساسن ويمدح ويحلل العرض و يدعم انهم اتخذوا المنطقة العربية في لعبتهم خل عندك عزة نفس مع دينك وقيمك الاخلاقية مع خليجنا العربي، واتخذ من اخوانا اقوى مثال حيّ ضد يوبيسوفت بل ضد كل لعبة فيها الشواذ والعياذ بالله ",Gaming,bullying
 بصراحة هذه المقاطعة لا تعني لي أي شيء وأظن بأني على الأرجح راح أشتري لعبة أساسنز كريد الجديدة اللي يبغى يقاطع فليقاطع واللي يبغى يشتري اللعبة ويتسلى بها فليتسلى بها,Gaming,Non-bullying
 مازلنا مقاطعين و لا تسوقوا الشركة على قيمنا و لا نكون مكاين دفع لهم ,Gaming,Non-bullying
" الغو بطولة الامارات عشان المتحولين جنسيا لا وزيادة عن كذا قالو عن دول الخليج انها غير امنه، ودي اعرف وش البلد الي اكثر امان من دول الخليج شي مضحك والله ",Gaming,Non-bullying
 ههه هذا ايش ضرب عقله,Gaming,bullying
 والله ياهي تهين الواحد بكل برود شوفوا كيف شقلبته تنبيه حرق ,Gaming,bullying
 يلعن ابو التفاهه ,Gaming,bullying
 يلعن شكلكم سوني وش ذا ,Gaming,bullying
 يلعن مكوتك ههه,Gaming,bullying
 ابن امك قرب,Gaming,bullying
 اعشق الساديه الي في هذي اللعبه,Gaming,bullying
 مدينة نيوم السعودية تخسر عقد للرياضة الالكترونية مرة اخرى بسبب مجتمع الشواذ ,Gaming,bullying
 من سجل الهدف امك,Gaming,bullying
 يلعن امك,Gaming,bullying
 كل الناس الي كانت تقولي ولهم شهور مقاطعه ومعرف وش في الأخير منزلين عرض اساسن كريد ومتحمسين وش صار طيب ,Gaming,Non-bullying
 بغداد ما اشتبكت عليكِ الاعصرُ إلا ذوت ووريق عمرك أخضرُ مرّت بك الدنيا وصبحك مشمسٌ ودجت عليك ووجه ليلك مقمرُ وقست عليك الحادثات فراعها ان احتمالك من أذاها اكبرُ ,Gaming,Non-bullying
 انتهى زمن الهاشتاقات و المقاطعة في تويتر لست ضد مثل هذه الوقفات للمعلومية ولكن لدينا الان مجتمع كبير قادر على التأثير وضربهم اقتصاديا حتى تتحقق المطالب بس واقعيا وضع البعض ماراح يردون علينا شنو نقدر نسوي ؟ ,Gaming,Non-bullying
" انا اللي مو فاهمه شلون في ناس تتوقع شركة مثل هذي تقدم اعتذارات وتنازلات للعرب وهم في المقام الاول يقدحون ويلمزون فينا ؟ اصحاب المحتوى والتأثر امّا توردّها مواريد الابطال ولا استرح ، خلّ المراجل لأهلها ",Gaming,Non-bullying
 الهاشتاق قربت نهايته ولازال هناك ناس تكون مع المقاطعة ولا نعلم خلف الكواليس اذا تلعب اللعبة او لا وقت تشوف شخص منزل مقاطعة لشركة وبعد فترة ينزل عن الشركة اعرف انه الهاشتاق ماله وجود واتمنى انه الهاشتاق يوقف احسن ,Gaming,Non-bullying
 طول الموضوع ياخوان اسحبوا عليهم وانتهينا ,Gaming,Non-bullying
 نفاق حسابات و قنوات الالعاب العربية اسوء بمليون مره من دناءة يوبي زفت انسوا احد يحترمنا او ياخذ مننا رأي لما يتصدر عندنا المشهد ناس منبطحة ما عندها كرامة ,Gaming,bullying
 والله جاكم خيالها يا ويلك يالزلايب ,Gaming,bullying
 تتعنصر ضد العرب والمسلمين وتقول انا غير صالحين لعمل بطولات في البلدان العربيه وتعمل لعبه بلغه عربيه ببلد عربي؟ يعني العرب صالحين فقط انكم تعملو بعالم بلدانهم جو العابكم؟ الحق على اللي يتبعكم ومش عليكم تناقض ضخم جدا والمهم الفلوس وما عاملين للعرب حساب ,Gaming,Non-bullying
 من بعد تريلر اليوم للعبة الي ما دوي اذكر اسمها من قذارتها عرفت ليش اغلب الشركات مستهينين في العرب و المسلمين ومهما اهانوهم فذا الشي ما راح ياثر لأن الجميع راح يشتري اللعبة ,Gaming,bullying
 شفتوا حركاتهم الشركات ولا كأن اي شي صار وللأسف دائما يفرون بذيلهم لكن يكفيني اني ضدهم وما راح اشتري منهم اي لعبة مهما كانت جودتها ,Gaming,bullying
 كذب في كذب المشاهير الي مفروض يكونون في المقدمه ضد المقاطعه صارو كذا والله حزن ,Gaming,bullying
 بعيدًا عن بس ملاحظ نمط للاعبين اساسنز كريد يشبه نمط حقين كود ينزل التريلر يتحمسون يطلبونها بري اوردر ياخذون اعلى نسخه يلعبونها وينصدمون انها ما جابت شيء جديد و يزعلون و يقلبون على الشركه ,Gaming,Non-bullying
 ناهيك عن انها من شركات الالعاب اللي فيها كثير موظفين عرب ومهتمين في ثقافتكم وقدموا والحين غير كذا ماله داعي تهاجمون اليوتيوبر لانه عبر عن رايه وقت مشكلة الغاء البطولة والحين متحمس للجزء الجديد فالنهاية لكل مقام مقال ,Gaming,Non-bullying
 لانه يدعمون ذاك المجتمع بشكل علني في محتواهم وتبرعاتهم بغض النظر عن زعلكم وانكم متحسسين من هالموضوع لكن الجانب الجيد من هالشركة انها تدعمنا بالترجمة والدبلجة حتى ومقدرتكم كمجتمع ولغة بتقولون عشان فلوس ترى مو انتوا بس عشرات اللغات يدعمونها بعد عشان فلوس؟ ,Gaming,Non-bullying
 معقولة كل ذا عشان الغوا بطولة؟ واذا يعني مو شيء كبير انا واحد ما يهمني توجه اي شخص او مؤسسة ولا يهمني دعمها لأي قضية اهم شيء عندي استمتع بشيء انا احبه وطز في توجهاتهم كلكم متربين ومسلمين وتعرفون الصح من الغلط لو على كذا المفروض تقاطعون كل الشركات ,Gaming,Non-bullying
 لا تسقط أكثر يا عبدالله سارِع قبل فوات الأوان ,Gaming,Non-bullying
 لا تنسون لا يغركم الفيجر و كلمات و زخرفه وكم تريلر خلك ثابت على رأيك اذا يبغون الدعم فا الواجب الاعتذار على الاهانات والي يدعمهم سؤال ما تحس هذا شركه تعدت عليك افهم ,Gaming,Non-bullying
 بعد تخاذل الاغلبية للأسف اعلن تركي لمقاطعة والانضمام لمقاطعة كل يوتيوبر عربي ناشر لهم ,Gaming,Non-bullying
" اي تغريده من مراجع او يوتيوبر مشهور عن لعبة فهو منطبح مايمثلنا ولا يمثل مجتمعنا ، شركه بشكل علني تتعنصر ضد العرب والانبطاح منهم يثبت مدى وطأة كرامتهم ",Gaming,bullying
 بصفتي عربيا ومؤمن كيّس فطن لا تنطلي علي ألاعيب وشقلبات التي وجهت لنا الإهانات ثم عادت تسوق لعبتها لنا رغبة في ,Gaming,Non-bullying
 للمصداقية ماعجبتني بعض المواضيع المطروحة من الأخ فهد في حسابه وألغيت متابعته لكن الإختلاف لا يفسد للود قضية وكلمت الحق تقال شكرا للأخ فهد على وقفته معنا في مقاطعة وإبرازها للملأ بعكس بعض الحسابات المحسوبة علينا ,Gaming,Non-bullying
" كالعادة هاشتاقات بس، لكن أول ما يفتحون الطلب المسبق الشرق الأوسط ",Gaming,Non-bullying
 اساسن كريد في العراق و مع اجندات محشورة اكثر مما هي موجودة من بداية السلسلة ,Gaming,Non-bullying
 انا صراحة ما ادري ليش يوبيسوفتو كأنها الشركة الوحيد في العالم ياخي فيه بدائل كثيرة عندك وارنر برذر و عندك بلايستيشن و عندك نينتندو و اليكترونيك ارتس و اكس بوكس و كم شركة ما وقفت الا على ذي و اساسا انا لم اشتركت في الخدمة حقت سوني لقيت لعبة اساسن كريد فالا هلا ,Gaming,Non-bullying
 أتمنى من صناع المحتوى انهم يقاطعون الشركة ويشاركون في الهاشتاق مو تبيعون اصلكم وثقافتكم علشان نسخة مراجعة للعبة بتجيكم ,Gaming,Non-bullying
 مع اني ماني مقاطع ولكن والله استغرب من يوبي سوفت انها ماتعتذر وتطلع بيان وتنهي السالفه وهي الي كانت دايم مع الاعبين وطلباتهم ,Gaming,Non-bullying
" مع حبي الكبير للسلسله وشكل اجزائها المحمس لكن لن ننسى ابدا ما لم يعتذوا وتبا للاقليات النابحه فالهاشتاغ محاولة استحقار الهاشتاغ ولكنه سيبقى في اذهاننا مالم يتراجعوا عن مافعلوا،قاطعوا فاننا كيان واحد حتى لو شفتم انكم اقليات لن تؤثروا وتذكروا ان الجبال من الحصى ",Gaming,bullying
" ليست يوبيسوفت و لا أساسينز كريد الزمن الجميل ، و لا ، هي الآن مجرد مُفلِسة ، أغلب عناوينها إعادة تدوير ، بل و مُفلِسة حتى في إعادة التدوير ، لم تتوانى في وصفنا بالهمجِ و عدم التحضّر ، تبّاً لكل مُنبطحٍ لها بأي شكل ",Gaming,bullying
 اتمنى من الغيورين على ديننا ومعتقداتنا ان لا ينسوا مقاطعة وتذكروا انهم فضلوا ذيك الفئة المثقوبة الشاذة عليكم وجدا مستغرب من بعض الحسابات المعروفة عندنا في مجال الألعاب نقل أخبار هذه الشركة العنصرية فهنيئا لهم بعض الأوراق على حساب كرامتهم ,Gaming,bullying
 كان من الممكن أن يكون للاعتذار قيمة لو صدر في بدايات حملة المقاطعة لكن الآن بعد سبعة أشهر أي اعتذار مهما كانت صيغته فهدفه الأول خدمة مصالحهم وتخفيف حدة المقاطعة التي دفعتهم دفعا ليغلقوا التعليقات اثناء عرضهم الترويجي على رغم أنوفهم وهم صاغرين ,Gaming,Non-bullying
 توقفوا عن دعم الشركة بالمراجعات والاستعراضات ,Gaming,Non-bullying
 ادري الموضوع يضحك بس يعني ما شايف هيج شركة تحسها مثل السياسيين مالتنه قبل فترة سوونه العرب همج وبرابرة وعنصرية وهسه منزلين لعبة مسوينا بيها عراقي صكاك ولا كأن صار شيء ,Gaming,Non-bullying
" ليش تتبكبكون؟ سواء تتفق مع مبادئ وقرارات شركة يوبيسوفت ولالا ما لك حق تطالب باعتذار لانه لو شركة العاب عربية اقامت حدث في دولة دولة احدى قوانينها فيه اساءة للقيمرز من فئة الاقليات بالنسبة لهذي الدولة مثل العرب او المسلمين، طبيعي الشركة بتلغي هذا الحدث ",Gaming,Non-bullying
" لم أتوقع إعتذارا منذ بدء الحملة ، لأنهم لا يجرؤون على استعداء تلك الفئة المنحرفة لكنهم يمتلكون وقاحة فاقت كل وصف عندما عادوا للاعلان والترويج للعبة جديدة في نفس البلاد التي وصفوها بالتخلف والرجعية و انعدام الأمن لا والذي بعث محمدا بالحق لا تراجع عن مقاطعة ",Gaming,bullying
" هذولا الاثنين ممكن تلقاهم بعدين يمدحون لعبة من استوديو اسرائيلي، لأن مبدأهم هو المال فقط ",Gaming,bullying
 هوريزان مثال فا يب معك حق نوعا ما بس المهم ما اكون متفق علشان كذا ,Gaming,Non-bullying
 خلص مؤتمر و محد عاطنها وجه الا اثنين اي شي يقولونه في المؤتمر يطبلوله ,Gaming,Non-bullying
 سعيد ان الجزء الجاي ببلدي لكن ما راح العبه وا دعم ,Gaming,Non-bullying
 الفلوس تغير النفوس حساب اساسن الموثق يرتوت و قبل فتره الخيبه يسال عن حماسنا للعبه الله يهديهم ,Gaming,Non-bullying
 ذا الحساب والقناة كانت تعجبني صراحة بس نشرك لأخبار جداً مستفز ,Gaming,Non-bullying
 بطل لعبة عربي وفيقر مكتوب عليه بالعربي هذا الحين معنى الاحترام للعرب من يوبي سوفت؟ وين الاعتذار الي ننتظره من فترة طويلة ؟ الغوا بطولة في بلد خليجي عربي خضوعا للفئة الملونة لانهم قالو عننا اننا متوحشين وهمج لن ننسى ,Gaming,bullying
" بغض النظر عن مواقف يوبيسوفت العنصرية، الا ان المؤتمر حقيقة كان محمس جدا خاصة سلاسل اساسين كريد متشوقين لعرض الجيم بلاي لاساسين كريد ميراج ",Gaming,Non-bullying
" مستمرين ولن نتوقف ، الا بعد إعتذار رسمي ودمتم سالمين ",Gaming,Non-bullying
 ما اهتم صراحة للسلسلة من بعد اجزاءها الجديدة وصرت ما اهتم لألعاب من سوء العابها وتكرارها وموقفها ضدنا و الآن صرت ما اهتم لذا الحساب واكره لتطبيله لألعابها على خياسها ,Gaming,bullying
 يضحكون بعض الناس قالك إنه ما راح يدعم يوبيزفت بإنه يلعب اساسن كريد الجديدة مهكرة انت مجرد لعبك للعبتهم هذا دعم لهم سوا دفعت او لا ,Gaming,Non-bullying
 هو اصلا كمان نزل مقطع عن وكاتب العنوان أسوء شركة بالعالم وبداية المقطع جالس يمدح يوبي زفت الى نهاية المقطع تناقض الف يعني فيه مليان عينات تناقض نفسها ,Gaming,bullying
 كيف هذي الشركة صاملة رغم التخبطات إلي ضيعت عليهم افضل فرص للنجاح و افضل العناوين إلي مح يرجعوها عشنهم مسوين فيها مساكين ,Gaming,bullying
" بقي يومان على معرض وأنباء عن جديدة في بغداد، والسـؤال ـ مقاطعة؟ ـ متابعة المعرض بما أن الجزء القادم سيكون في دولة عربية وعودة اللعبة لإسلوب اللعب القديم؟ ",Gaming,Non-bullying
" الناس الي تدافع عن صناع المتحوى بخصوص اعلان بقرة يوبي سوفت وانهم يغردون بدون الهاشتاق وانهم عليهم هجوم وكذا ، هذولا اول كانوا معنا في المقاطعة يوم جاء اعلان اللعبة جاك متحمس وحتى يقولك عن تسريباته ، يوم كنت معنا في المقاطعة كنت مقاطع الشركة ولا بس اللعبة ؟ ",Gaming,bullying
 ما رح اشتري لعبتكم إلا بتخفيض ولما اشتريها رح انشر فضايحها وعيوبها بين كل صحابي ورح تصير ميمز بيننا من خياسها مو انتو بتدعمو الشذ وذ والعنصرية؟ انا رح ادعم الت نمر والسخرية عليكم ,Gaming,bullying
 اتمنى اللاعبين السعوديين ما يسكتون وإلا يتمادون وأقترح عليهم يروحون لل اللي يقدم خدمات أحسن وبسعر رمزي مع إمكانية تبديل المتجر بدون أي قيود اتمنى كلامي وصلت للاعبين عندنا لأنه حقنا وممكن يتمادون علينا حالهم حال ,Gaming,Non-bullying
 بكرا لو حاولت تتعنصر على الصيني وتستخدم نفس الحركة اللي سووها عندنا راح تخسر هي نفسها مناصرة العدالة راح تسكت عن الصين وكل شيء وتتطاول علينا عادي ,Gaming,Non-bullying
 توضيح مهم لم تستحوذ على يوبي زفت ؛ بل إستثمرت بشكل كبير في الناشر الفرنسي فقط حيث إستثمرت في الشركة التي يديرها مؤسسوا والذين يملكون أكبر حصة بالناشر ,Gaming,Non-bullying
 حبيت اللي ينقل اخبار اوبي سوفت بس يكتب يعني سوا اللي عليه ,Gaming,Non-bullying
 قام العملاق الصيني بالإستثمار مليون يورو في وذلك في من حصتها ويذكر بأن كانت تملك بالفعل تقريباً من أسهم يوبي زفت قبل هذه الصفقة كما أنها قد ترفع من نسبة حصتها في الناشر الفرنسي مستقبلاً ,Gaming,bullying
 اعتقد بتكون افضل في الخمس أشهر القادمه مع إتمام صفقه اكتفيجين واحتماليه قدوم خدمه و حصريات جديده بنشوف العاب أفضل ,Gaming,Non-bullying
 طبعا كلامي موجه ليس موجه لفرع الشرق الأوسط بل للأم اللي أسمها ولن نشتري ألعابهم بسبب التصرفات العنصرية واستخدامنا عشان حملة علاقات عامة رخيصة لتحسين صورتهم الزبالة حسنوا بيئة العمل عندكم وليس التعنصر ضدنا بأسم مناصرة العدالة والخرابيط حقتكم ,Gaming,bullying
 كيف حقبة اساسن تكون في ميلادي تستهبلون انتم تعرفون اساسن ولا وش بدايتهم كانت من ميلادي اي بالهجري هجري و لو نزلت ما راح ياخذون فلوسي راح ا ك ر ك العبة ,Gaming,Non-bullying
 أقسم بالله أقرفتونا بموضوع و ما شفناكم تقاطعون كاب كوم و ألعابها و خصوصاً سلسلة ريزدينت إيڤل يوم حطت المصحف بالأرض ولا الشغله مزاج أقاطع هنا و أسكت هناك او يمكن عشان ألعاب يوبي زفت مخيسه فصار الموضوع شخصنه,Gaming,bullying
 مهما كانت اللعبة مالها لزمه او لعبة خايسة او تكرهها لأي سبب كان غلط تقيمها بدون ما تلعبها لانك كذا قيمت منتج انت ما تملكه او لعبته الا العاب عادي اخسف فيها ,Gaming,bullying
" في حملة كان في خط الموت في ذي الحملة ، بس اول ما الناس قلو صار يتكلم عن العابهم ويتحمس بعد ، ومستخدم نظام لا اسمع ولا ارى ولا اشم ",Gaming,Non-bullying
" لخص أغلب الكلام اللي عن موضوع ووضح ليه أبعاد تانية كمان ، و بجد ده الموقف اللي كت مستني أغلب اليوتيوبرز المواقع يعملوه ، مش يبيعو كرامتهم و يرضو بالإهانة عشان شوية نسخ مراجعة او شوية مشاهدات ، أتمنى الناس تاخد بالها من الموضوع ده و ميبقوش زيهم ",Gaming,Non-bullying
 هم صح بس كول للعباقرة الي يقاطعون ورا ما تخلص المقاطعة هما يرجعون يطبلون ل هذول شنسوي لهم؟؟؟ ,Gaming,Non-bullying
 كيف تعرف قيمة الشخص الكفو من المو كيوت في هذا الزمن والله صعبه من شخص يحشر القيم في مقاطعه الي شخص يبيعها بارخص الاثمان وباوقح الاوقات الحين حتى موضوع الكضيه انتقل في الالعاب ؟ ,Gaming,Non-bullying
 بعض صناع المحتوى خايف تروح منه المزايا اذا شارك بالحملة وانا اقول لهم يا رجال دامكم كذا يمكن بيسحبون عليكم بعدين وبيحسبون على التعريب دام فيه ناس غبية مو مهتمة بالموضوع ,Gaming,bullying
 والله ماش صراحة محد صمل على الحملة والله اذا الشعب ما بيقدر يصمل على الحملات زي ذي توقعوا ان تعريب الالعاب يختفي مستقبلاً ,Gaming,Non-bullying
 لكننا سنقاطعهم حتى يعتذروا إعتذار كامل على تصرفها العنصري والتعهد بعدم العودة لتلك التصرفات ولا تعتقد نفسها أذكى مننا ولا تبيعنا عشان تحسن سمعتها على حسابنا وتشوهنا وتصورنا إننا أناس غير متحضرة ومن تلك الأمور للأسف هناك بعض الناس نست تصرفات ,Gaming,Non-bullying
 كان يامكان كانت هناك شركة إسمها أرادت أن تحسن سمعتها السيئة عن طريق إقامة بطولة ثم إلغائها في بلد عربي بحجة إنها غير آمنة لناس معينة وإنها خطرة عليهم وتريد سلامتهم وانها تخاف أن يحصل لهم كما حصلت في مكاتب شركتهم يوبي زفت وأننا همج وفوضويين وغير متحضرين ,Gaming,bullying
" هممم أنا جديد هنا، لا أعلم ما حصل او لم أر أي مثال للعنصرية أنا أقاطع يوبيسوفت منذ سنين لأنها شركة فرنسية نعم، لازلت مقاطعا لفرنسا ولكن اي مقاطعة منظمة أراها بشكل عام تجلب لي الاطمئنان لان ان لم يحدث هذا فإن الدين الجديد السائد، سيكون الاستهلاكية ",Gaming,Non-bullying
 اتمنى حقيقةً ان الاعلام العربي يحارب هذه الشركة وأن المجتمع العربي يكون لهم صوت وما يسكتون ويروضون على أي كلمة تطلع من هذه الشركة ,Gaming,Non-bullying
" لا ماله الحق خصوصًا اذا تكلم عن الموضوع قبل او بعد اذا ماتكلم لأن رأيك فيه استفزاز للمجتمع العربي كله وشهرتك ماجات الا منهم، اذا تبي تنتهي والكل يكرهك استفزهم بقضاياهم الحساسه تبقى غصب عن كل مشهور يبي يحفظ مكانه بعيون المجتمع حتى لو كانت غيرته ركيكه ",Gaming,bullying
 لا العاب لا شركه لا مدير لا حول ولا قوه الا بالله ,Gaming,Non-bullying
" اليومين ذي شفنا احداث غريبة مع انها ما تقارن ببعض وكل وحده لها وضعها المختلف تماماً، لكن شفنا اعلان ل و صدور تفاعل بعض اللاعبين كان متضارب نوعاً ما مع التوجة العام للمجتمع او مع رأيه السابق ",Gaming,Non-bullying
 هو الموقع الوحيد اللي ما زال يحترم متابعينه لا أخبار جديدة عن الشركة العنصرية من تاريخ بداية المقاطعة تحية كبير لكم على البقاء على المبدأ ,Gaming,Non-bullying
 انا خايف يحطو شواذ في الجزء الجديد ,Gaming,Non-bullying
 اذكر اني سمعت ان يوبيزفت كل مره يتم تسريب الجزء الجديد و كلها تطلع صحيحه و تتعمد تنشرها و تسربها عشان تسويق و حركات اظن عبد الله تلقى ايميل و لا هو ماراح ينشرها هكذا فقط لكن نحسن الظن ,Gaming,Non-bullying
 مهما رجعت لجذور لعبه اساسين كريد شركه يوبي سوفت تغيرت مب زي اول ف حماسي ,Gaming,Non-bullying
 اظن انه لازم نعالج العنصرية الي بيننا في الوطن العربي بعدين نروح على ,Gaming,Non-bullying
 المسجد ورا مو واضح لك المفروض مايكون متواجد المسجد شي مقدس وبيت الله لذلك المفروض نقاطع شركه يوبيسوفت ,Gaming,Non-bullying
" مقاطعة الالعاب عندنا هبة ترند، الشركة قبل فترة جايبة العيد مع العرب والشعب عصب وقتها والحين العرب نفسهم جالسين يشبحون لألعابها ",Gaming,Non-bullying
 مستحيل يحترمونا لين يشوفونا مثل ما يشوفون روسيا و الصين لان يدرون لو يسون حركة مثل هذي مع روسيا او الصين العابهم بتنحظر على طول لذلك قاطعوا هالواطيين ,Gaming,bullying
 بدون تفكير رزدنت ايفل لان اللعبة رهيبة واحلى من احدث العاب القصة جدا حلوة عل عكس اي لعبة يوبيزفت جديدة اللعبة الكلتشات بيها منعدمة عل عكس اي لعبة نازلة من سنين واقل من عند يوبي كأني بالغت شوي ,Gaming,Non-bullying
 الحين مسويين ان راح نمشي الموضوع عادي لا والله مع نفسكم انتم ولعبتكم مع العلم اني احب ألعاب اساسن والجزء الجديد عن قصه شخصيه جداً رهيبه اللي هو باسم من جزء فالهالا لكن هذا الشي لن يغفر لكم ألغيتو بطوله عشان خاطر ١٣ ألف ووقفتوا ضد العرب ومعتقداتهم ,Gaming,Non-bullying
 كلنا معك وماعليك منهم بايعين شرفهم علشان سلسلة ولا لعبه إلى متى بنسكت لعنصريتهم ذي ياحسبون لنا حساب ولا يبشرون بالمقاطعه ,Gaming,bullying
 لا العاب كويسة لا إتقان في العمل جحد جمهورك الي اهم من عينة أقل ما يقال عنها حثالة انبطاح للمتشقلبين حلب وتكرار لنفس الالعاب نعم هذه يوبيزفت ,Gaming,bullying
 اخي المفروض اي احد يشتري لعبة من يشتريها مكركة لان يستاهلون ,Gaming,Non-bullying
 انا اصلا احمل كل العب مكرك لان تستاهل سنين يشتغلون معنا ويعربون العابهم اخر شي عل واحد تسحبون علينا تبا لكم يا يوبيزفت العنصرية ,Gaming,bullying
" انا ضد القرصنة، مو علشان موقفي مع اكسر موقف ثاني ",Gaming,Non-bullying
" ما زالت من تطوير فبدعمهم لو شريتها من اي ستور حتى لو مو من نشرهم، صاحب المبدأ ومتخذ الموقف المفروض ما يبحث عن الطرق الملتوية، اذا فيه احد يبي يشتريها يشتريها من الستور الي يبي في النهاية ماهي حرام بس عندي موقف منهم ",Gaming,Non-bullying
 السلام عليكم هل إذا لعبت السرمديون نحو القمة في القيم باس راح أدعم ,Gaming,Non-bullying
 والله صحيح والمفروض اي واحد يحمل العب يحملها مكركة لان تستاهل ,Gaming,Non-bullying
 اصلا رحت بدلت لعبتهم المخيسه اساسن كريد فالهالا ب شبح تسوشيما الرائعه لابوهم لابو مبسبسينهم ,Gaming,bullying
 انا كنت من اكبر المعجبين بالشركة ولالعابها لكن الي صار بالامارات وتبريراتهم المضحكة تثبت لك عنصريتهم لنا العرب والمسلمين ولمصلحة قله من الشو اذ مخا نيث عيال حر ام ,Gaming,bullying
 سبحان الله النكره بعده مقفل حسابه يعرف انه طعن دولة وشعب عاش بينهم سنين بس عشان يوصل لفرنسا و يامن تعرفون وش من رح خان غير بايو على ما يبحوا قومه ,Gaming,bullying
 لكل القنوات الاعلامية المحسوبة على مجتمع القيمرز اذا مو العربي عالاقل الخليجي ما راح ننسى كل من يسوق لهم باي شكل من الاشكال او اي ذريعه من نقل مجرد الخبر او غيره واذا انتم كاعلاميين ما قدرتم تتصدرون المشهد بالمقاطعة فلا خير فيكم ابدا ,Gaming,Non-bullying
" حملة تسجل للاعبين العرب وخاصة المغردين منهم، خذلها عبد الدرهم والدينار، ولكن هناك جهات إعلامية مثل و شرفاء كانوا ولازالوا على مبدئهم في موقف يسجله التاريخ لهم الشركة دخلت لطريق مظلم بسبب عنادها لأجل الملونين ",Gaming,Non-bullying
" ما تتخيلون كمية الحماس والحب للعبة ماريو رابدز الستراتيجية ، الجزء الاول ختمته مع الاضافات وحبيته كثير ومتحمس للجزء الجديد لكن ماراح اقدر العبه وكل ما اشوف البوستر اتذكر ، ما اقدر العبها وبقاطعها وبقاطعهم لحد ما يعتذرون اعتذار رسمي ",Gaming,Non-bullying
 كفو عليك معاك قلباً وقالباً وانا من اليوم بلغي اي اشتراك مع اي قناة او حساب عربي يدعم منتجاتهم ,Gaming,Non-bullying
" تحيه لكل قناه او شخص مؤثر صامل على مبدأه وما غير رايه ، قد تكون خسرت كود لكنك كسبت إحترام مجتمع كامل والمفروض اليوم المتابع العاقل الواعي يعرف منو يتابع ويدعم ",Gaming,Non-bullying
